Developer ID,Primary Strength,Date,Task Type,Task ID,System Context (What to do),Specific Focus & Deliverables,Intended UAT / Daily Goal
DEV-1,pipeline_backend,2026-03-13,NOTIF,NOTIF-02,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",multi-channel dispatch routing complete
DEV-1,pipeline_backend,2026-03-13,NOTIF,NOTIF-03,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",multi-channel dispatch routing complete
DEV-1,pipeline_backend,2026-03-13,NOTIF,NOTIF-04,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",multi-channel dispatch routing complete
DEV-1,pipeline_backend,2026-03-14,NOTIF,NOTIF-05,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",actuation worker and MQTT path active
DEV-1,pipeline_backend,2026-03-14,NOTIF,NOTIF-06,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",actuation worker and MQTT path active
DEV-1,pipeline_backend,2026-03-14,PIPE,PIPE-05,Message Queues/Workers: Handle background queue transitions and worker processes to pipe events reliably.,"Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",actuation worker and MQTT path active
DEV-1,pipeline_backend,2026-03-14,PTZ,PTZ-01,Camera Actuation: Implement Pan-Tilt-Zoom controls to track moving objects physically.,"Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",actuation worker and MQTT path active
DEV-1,pipeline_backend,2026-03-15,TEST,TEST-05,"Quality Assurance: Write unit, integration, and End-to-End tests to prevent regressions.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",regression pass and metrics verification
DEV-1,pipeline_backend,2026-03-15,WATCH,WATCH-08,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",regression pass and metrics verification
DEV-2,recording_replay_backend,2026-03-09,REC,REC-01,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment writer and DB persistence complete
DEV-2,recording_replay_backend,2026-03-09,REC,REC-02,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment writer and DB persistence complete
DEV-2,recording_replay_backend,2026-03-09,REC,REC-03,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment writer and DB persistence complete
DEV-2,recording_replay_backend,2026-03-09,REC,REC-04,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment writer and DB persistence complete
DEV-2,recording_replay_backend,2026-03-10,REC,REC-05,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment bus linkage and replay data consistency
DEV-2,recording_replay_backend,2026-03-10,REC,REC-06,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment bus linkage and replay data consistency
DEV-2,recording_replay_backend,2026-03-10,REC,REC-07,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment bus linkage and replay data consistency
DEV-2,recording_replay_backend,2026-03-10,REC,REC-09,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),segment bus linkage and replay data consistency
DEV-2,recording_replay_backend,2026-03-11,DNVR,DNVR-06,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings UX advanced controls and stats API
DEV-2,recording_replay_backend,2026-03-11,DNVR,DNVR-07,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings UX advanced controls and stats API
DEV-2,recording_replay_backend,2026-03-11,DNVR,DNVR-08,"Playback/NVR: Implement the Digital NVR logic (HLS player, timeline, deep-linking) to play recorded video.","Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",recordings UX advanced controls and stats API
DEV-2,recording_replay_backend,2026-03-11,API,API-27,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,Focus: Ops stats endpoints (Expected: /api/stats endpoint wired and used in UI/monitoring),recordings UX advanced controls and stats API
DEV-2,recording_replay_backend,2026-03-12,API,API-10,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,Implementation and delivery as required.,zone update/delete backend refinements
DEV-2,recording_replay_backend,2026-03-12,API,API-11,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,Implementation and delivery as required.,zone update/delete backend refinements
DEV-2,recording_replay_backend,2026-03-12,ZONE,ZONE-10,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone update/delete backend refinements
DEV-2,recording_replay_backend,2026-03-12,ZONE,ZONE-11,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone update/delete backend refinements
DEV-2,recording_replay_backend,2026-03-13,PTZ,PTZ-02,Camera Actuation: Implement Pan-Tilt-Zoom controls to track moving objects physically.,"Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",PTZ action path integrated
DEV-2,recording_replay_backend,2026-03-13,PTZ,PTZ-03,Camera Actuation: Implement Pan-Tilt-Zoom controls to track moving objects physically.,"Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",PTZ action path integrated
DEV-2,recording_replay_backend,2026-03-13,NOTIF,NOTIF-07,"Alerts/Comms: Route alerts via Mqtt, Slack, or Webhooks when severe incidents occur.","Focus: Notifications, actuation, PTZ (Expected: Slack + MQTT + WebPush/Webhook dispatch; Actuation worker for high severity; PTZ autotrack integration)",PTZ action path integrated
DEV-2,recording_replay_backend,2026-03-14,WATCH,WATCH-02,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",watchdog camera restart and failover
DEV-2,recording_replay_backend,2026-03-14,WATCH,WATCH-03,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",watchdog camera restart and failover
DEV-2,recording_replay_backend,2026-03-14,WATCH,WATCH-05,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",watchdog camera restart and failover
DEV-2,recording_replay_backend,2026-03-15,REC,REC-10,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Retention and cleanup (Expected: Old segments cleaned by policy; Incident auto-resolve cleanup implemented),cleanup/retention regression and release hardening
DEV-2,recording_replay_backend,2026-03-15,REC,REC-11,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Retention and cleanup (Expected: Old segments cleaned by policy; Incident auto-resolve cleanup implemented),cleanup/retention regression and release hardening
DEV-2,recording_replay_backend,2026-03-15,PIPE,PIPE-12,Message Queues/Workers: Handle background queue transitions and worker processes to pipe events reliably.,Focus: Retention and cleanup (Expected: Old segments cleaned by policy; Incident auto-resolve cleanup implemented),cleanup/retention regression and release hardening
DEV-2,recording_replay_backend,2026-03-15,DB,DB-09,"Database Management: Write migrations, schema updates, or handle cleanup scripts for the PostgreSQL DB.",Focus: Retention and cleanup (Expected: Old segments cleaned by policy; Incident auto-resolve cleanup implemented),cleanup/retention regression and release hardening
DEV-3,api_design_and_security,2026-03-09,ZONE,ZONE-01,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone list/create + validation + redis publish
DEV-3,api_design_and_security,2026-03-09,ZONE,ZONE-02,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone list/create + validation + redis publish
DEV-3,api_design_and_security,2026-03-09,ZONE,ZONE-03,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone list/create + validation + redis publish
DEV-3,api_design_and_security,2026-03-10,ZONE,ZONE-04,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone management policy and edge sync reliability
DEV-3,api_design_and_security,2026-03-10,ZONE,ZONE-07,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone management policy and edge sync reliability
DEV-3,api_design_and_security,2026-03-10,ZONE,ZONE-08,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),zone management policy and edge sync reliability
DEV-3,api_design_and_security,2026-03-11,AUTH,AUTH-01,Security: Implement Authentication (JWT) and Role-Based Access Control to secure the platform.,Focus: Security and auth (Expected: JWT issuance/verification + refresh; RBAC protections on APIs; API key and optional proxy-auth integration),token issue and API key auth
DEV-3,api_design_and_security,2026-03-11,AUTH,AUTH-06,Security: Implement Authentication (JWT) and Role-Based Access Control to secure the platform.,Focus: Security and auth (Expected: JWT issuance/verification + refresh; RBAC protections on APIs; API key and optional proxy-auth integration),token issue and API key auth
DEV-3,api_design_and_security,2026-03-12,AUTH,AUTH-07,Security: Implement Authentication (JWT) and Role-Based Access Control to secure the platform.,Focus: Security and auth (Expected: JWT issuance/verification + refresh; RBAC protections on APIs; API key and optional proxy-auth integration),refresh flow and RBAC enforcement baseline
DEV-3,api_design_and_security,2026-03-12,AUTH,AUTH-02,Security: Implement Authentication (JWT) and Role-Based Access Control to secure the platform.,Focus: Security and auth (Expected: JWT issuance/verification + refresh; RBAC protections on APIs; API key and optional proxy-auth integration),refresh flow and RBAC enforcement baseline
DEV-3,api_design_and_security,2026-03-13,DET,DET-01,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),event linking refinements + snapshot hook
DEV-3,api_design_and_security,2026-03-13,DET,DET-02,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),event linking refinements + snapshot hook
DEV-3,api_design_and_security,2026-03-13,REC,REC-13,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),event linking refinements + snapshot hook
DEV-3,api_design_and_security,2026-03-13,REC,REC-14,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),event linking refinements + snapshot hook
DEV-3,api_design_and_security,2026-03-14,REC,REC-15,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),seed data + reliability checks + thumbnail updates
DEV-3,api_design_and_security,2026-03-14,DB,DB-07,"Database Management: Write migrations, schema updates, or handle cleanup scripts for the PostgreSQL DB.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",seed data + reliability checks + thumbnail updates
DEV-3,api_design_and_security,2026-03-14,WATCH,WATCH-06,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",seed data + reliability checks + thumbnail updates
DEV-3,api_design_and_security,2026-03-14,WATCH,WATCH-07,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",seed data + reliability checks + thumbnail updates
DEV-3,api_design_and_security,2026-03-15,ZONE,ZONE-01,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),regression of zone API with auth enabled
DEV-3,api_design_and_security,2026-03-15,ZONE,ZONE-10,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),regression of zone API with auth enabled
DEV-3,api_design_and_security,2026-03-15,ZONE,ZONE-11,Spatial Logic: Manage camera Zones (polygons) so the system knows where to detect specific events.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),regression of zone API with auth enabled
DEV-4,ai_platform_and_observability,2026-03-09,API,API-16,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,Focus: Incidents workflow (Expected: Incident detail + resolve/annotate endpoints; Incidents UI with filters and resolve action),incident detail/update API baseline
DEV-4,ai_platform_and_observability,2026-03-09,API,API-17,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,Focus: Incidents workflow (Expected: Incident detail + resolve/annotate endpoints; Incidents UI with filters and resolve action),incident detail/update API baseline
DEV-4,ai_platform_and_observability,2026-03-09,DCFG,DCFG-01,UI/Incidents: Build out the frontend Dashboard and Incident review screens.,Focus: Incidents workflow (Expected: Incident detail + resolve/annotate endpoints; Incidents UI with filters and resolve action),incident detail/update API baseline
DEV-4,ai_platform_and_observability,2026-03-10,DCFG,DCFG-02,UI/Incidents: Build out the frontend Dashboard and Incident review screens.,Focus: Incidents workflow (Expected: Incident detail + resolve/annotate endpoints; Incidents UI with filters and resolve action),incident/zone UI workflows connected
DEV-4,ai_platform_and_observability,2026-03-10,DCFG,DCFG-04,UI/Incidents: Build out the frontend Dashboard and Incident review screens.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),incident/zone UI workflows connected
DEV-4,ai_platform_and_observability,2026-03-10,DCFG,DCFG-05,UI/Incidents: Build out the frontend Dashboard and Incident review screens.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),incident/zone UI workflows connected
DEV-4,ai_platform_and_observability,2026-03-10,DCFG,DCFG-06,UI/Incidents: Build out the frontend Dashboard and Incident review screens.,Focus: Zone management (Expected: Full Zone CRUD API; Polygon validation + Redis hot-reload; Interactive zones UI),incident/zone UI workflows connected
DEV-4,ai_platform_and_observability,2026-03-11,VLM,VLM-01,"GenAI/Chat: Integrate Vision-Language Models (OpenAI, Gemini) for incident summaries, embeddings, and chat search.","Focus: VLM, embeddings, and chat/search (Expected: Multi-provider VLM support (OpenAI + Gemini + Ollama/LlamaCpp); Chat/search endpoints and embedding pipeline; Structured summaries + semantic retrieval)",provider abstraction + structured summaries
DEV-4,ai_platform_and_observability,2026-03-11,VLM,VLM-02,"GenAI/Chat: Integrate Vision-Language Models (OpenAI, Gemini) for incident summaries, embeddings, and chat search.","Focus: VLM, embeddings, and chat/search (Expected: Multi-provider VLM support (OpenAI + Gemini + Ollama/LlamaCpp); Chat/search endpoints and embedding pipeline; Structured summaries + semantic retrieval)",provider abstraction + structured summaries
DEV-4,ai_platform_and_observability,2026-03-11,VLM,VLM-03,"GenAI/Chat: Integrate Vision-Language Models (OpenAI, Gemini) for incident summaries, embeddings, and chat search.","Focus: VLM, embeddings, and chat/search (Expected: Multi-provider VLM support (OpenAI + Gemini + Ollama/LlamaCpp); Chat/search endpoints and embedding pipeline; Structured summaries + semantic retrieval)",provider abstraction + structured summaries
DEV-4,ai_platform_and_observability,2026-03-12,VLM,VLM-04,"GenAI/Chat: Integrate Vision-Language Models (OpenAI, Gemini) for incident summaries, embeddings, and chat search.","Focus: VLM, embeddings, and chat/search (Expected: Multi-provider VLM support (OpenAI + Gemini + Ollama/LlamaCpp); Chat/search endpoints and embedding pipeline; Structured summaries + semantic retrieval)",chat/search endpoints first production pass
DEV-4,ai_platform_and_observability,2026-03-12,VLM,VLM-05,"GenAI/Chat: Integrate Vision-Language Models (OpenAI, Gemini) for incident summaries, embeddings, and chat search.","Focus: VLM, embeddings, and chat/search (Expected: Multi-provider VLM support (OpenAI + Gemini + Ollama/LlamaCpp); Chat/search endpoints and embedding pipeline; Structured summaries + semantic retrieval)",chat/search endpoints first production pass
DEV-4,ai_platform_and_observability,2026-03-12,VLM,VLM-06,"GenAI/Chat: Integrate Vision-Language Models (OpenAI, Gemini) for incident summaries, embeddings, and chat search.","Focus: VLM, embeddings, and chat/search (Expected: Multi-provider VLM support (OpenAI + Gemini + Ollama/LlamaCpp); Chat/search endpoints and embedding pipeline; Structured summaries + semantic retrieval)",chat/search endpoints first production pass
DEV-4,ai_platform_and_observability,2026-03-13,DET,DET-03,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),flow-A stabilization during rotation
DEV-4,ai_platform_and_observability,2026-03-13,DET,DET-04,"AI Vision/Detection: Work on the core object detection pipeline, maintaining track states (START/LOITER/END).",Focus: Detection and decision hardening (Expected: Stable START/UPDATE/LOITERING/END behavior; Stationary/speed/audio backlog reduced to implemented-or-feature-flagged; Decision pipeline stores consistent Detection/Incident records),flow-A stabilization during rotation
DEV-4,ai_platform_and_observability,2026-03-13,REC,REC-04,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),flow-A stabilization during rotation
DEV-4,ai_platform_and_observability,2026-03-13,REC,REC-05,"Video Storage: Manage FFmpeg video ingestion, segmenting raw streams, and writing segments to the Database.",Focus: Recording and replay data plane (Expected: Segment rows written to DB; Detection-to-segment linkage; Thumbnail/clip generation hooks active),flow-A stabilization during rotation
DEV-4,ai_platform_and_observability,2026-03-14,WATCH,WATCH-08,"Reliability/Ops: Build watchdogs, health-checks, and camera restart/failover mechanisms.","Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",metrics exposure + birdseye implementation
DEV-4,ai_platform_and_observability,2026-03-14,API,API-27,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,Focus: Ops stats endpoints (Expected: /api/stats endpoint wired and used in UI/monitoring),metrics exposure + birdseye implementation
DEV-4,ai_platform_and_observability,2026-03-14,DLIVE,DLIVE-08,Live Video/Birdseye: Implement live streaming composite views (Birdseye).,"Focus: Watchdog, observability, and release quality (Expected: Camera restart watchdogs + health monitors; Prometheus/metrics exposure; Seed data + passing tests + birdseye output)",metrics exposure + birdseye implementation
DEV-4,ai_platform_and_observability,2026-03-15,API,API-12,API/Backend: Develop REST API endpoints to serve data to the frontend UI.,"Focus: Recordings and replay UX (Expected: Segment list, playlist, timeline, replay endpoints; Recordings page with HLS player + timeline + incident deep link)",replay endpoint regression and performance check
